geography,period,area_code,area_name,language,n
Ward,2011,E05000822,Broadheath,Tigrinya,0
Ward,2011,E05000822,Broadheath,Somali,0
Ward,2011,E05000822,Broadheath,Krio,0
Ward,2011,E05000822,Broadheath,Akan,0
Ward,2011,E05000822,Broadheath,Yoruba,1
Ward,2011,E05000822,Broadheath,Igbo,1
Ward,2011,E05000822,Broadheath,Swahili/Kiswahili,1
Ward,2011,E05000822,Broadheath,Luganda,0
Ward,2011,E05000822,Broadheath,Lingala,0
Ward,2011,E05000822,Broadheath,Shona,1
Ward,2011,E05000822,Broadheath,Afrikaans,1
Ward,2011,E05000822,Broadheath,Any other Nigerian language,0
Ward,2011,E05000822,Broadheath,West African language (all other),0
Ward,2011,E05000822,Broadheath,African language (all other),6
Ward,2011,E05000822,Broadheath,All other languages,1
Ward,2011,E05000822,Broadheath,British sign language,5
Ward,2011,E05000822,Broadheath,Sign Language (all other),0
Ward,2011,E05000822,Broadheath,Any Sign Communication System,1
Ward,2011,E05000823,Brooklands,English (English or Welsh if in Wales),9607
Ward,2011,E05000823,Brooklands,Welsh/Cymraeg (in England only),3
Ward,2011,E05000823,Brooklands,Gaelic (Irish),1
Ward,2011,E05000823,Brooklands,Gaelic (Scottish),0
Ward,2011,E05000823,Brooklands,Manx Gaelic,0
Ward,2011,E05000823,Brooklands,Gaelic (Not otherwise specified),0
Ward,2011,E05000823,Brooklands,Cornish,0
Ward,2011,E05000823,Brooklands,Scots,0
Ward,2011,E05000823,Brooklands,Gypsy/Traveller languages,0
Ward,2011,E05000823,Brooklands,French,24
Ward,2011,E05000823,Brooklands,Portuguese,6
Ward,2011,E05000823,Brooklands,Spanish,25
Ward,2011,E05000823,Brooklands,Italian,7
Ward,2011,E05000823,Brooklands,German,6
Ward,2011,E05000823,Brooklands,Polish,52
Ward,2011,E05000823,Brooklands,Slovak,3
Ward,2011,E05000823,Brooklands,Czech,2
Ward,2011,E05000823,Brooklands,Romanian,7
Ward,2011,E05000823,Brooklands,Lithuanian,0
Ward,2011,E05000823,Brooklands,Latvian,0
Ward,2011,E05000823,Brooklands,Hungarian,2
Ward,2011,E05000823,Brooklands,Bulgarian,5
Ward,2011,E05000823,Brooklands,Greek,8
Ward,2011,E05000823,Brooklands,Dutch,3
Ward,2011,E05000823,Brooklands,Swedish,2
Ward,2011,E05000823,Brooklands,Danish,1
Ward,2011,E05000823,Brooklands,Finnish,1
Ward,2011,E05000823,Brooklands,Estonian,0
Ward,2011,E05000823,Brooklands,Slovenian,0
Ward,2011,E05000823,Brooklands,Maltese,1
Ward,2011,E05000823,Brooklands,Any other European Language (EU),0
Ward,2011,E05000823,Brooklands,Albanian,1
Ward,2011,E05000823,Brooklands,Serbian/Croatian/Bosnian,4
Ward,2011,E05000823,Brooklands,Ukrainian,0
Ward,2011,E05000823,Brooklands,Any other Eastern European Language (non EU),0
Ward,2011,E05000823,Brooklands,Northern European Language (non EU),1
Ward,2011,E05000823,Brooklands,Romani language (any),0
Ward,2011,E05000823,Brooklands,Yiddish,0
Ward,2011,E05000823,Brooklands,Russian,7
Ward,2011,E05000823,Brooklands,Turkish,9
Ward,2011,E05000823,Brooklands,Arabic,39
Ward,2011,E05000823,Brooklands,Hebrew,0
Ward,2011,E05000823,Brooklands,Kurdish,0
Ward,2011,E05000823,Brooklands,Persian/Farsi,20
Ward,2011,E05000823,Brooklands,Pashto,1
Ward,2011,E05000823,Brooklands,West/Central Asian Language (all other),0
Ward,2011,E05000823,Brooklands,Urdu,23
Ward,2011,E05000823,Brooklands,Hindi,6
Ward,2011,E05000823,Brooklands,Panjabi,7
Ward,2011,E05000823,Brooklands,Pakistani Pahari (with Mirpuri and Potwari),0
Ward,2011,E05000823,Brooklands,Bengali (with Sylheti and Chatgaya),11
Ward,2011,E05000823,Brooklands,Gujarati,7
Ward,2011,E05000823,Brooklands,Marathi,6
Ward,2011,E05000823,Brooklands,Telugu,7
Ward,2011,E05000823,Brooklands,Tamil,8
Ward,2011,E05000823,Brooklands,Malayalam,0
Ward,2011,E05000823,Brooklands,Sinhala,3
Ward,2011,E05000823,Brooklands,Nepalese,0
Ward,2011,E05000823,Brooklands,South Asian Language (all other),0
Ward,2011,E05000823,Brooklands,Mandarin Chinese,13
Ward,2011,E05000823,Brooklands,Cantonese Chinese,12
Ward,2011,E05000823,Brooklands,All other Chinese,57
Ward,2011,E05000823,Brooklands,Japanese,4
Ward,2011,E05000823,Brooklands,Korean,2
Ward,2011,E05000823,Brooklands,Vietnamese,0
Ward,2011,E05000823,Brooklands,Thai,9
Ward,2011,E05000823,Brooklands,Malay,1
Ward,2011,E05000823,Brooklands,Tagalog/Filipino,1
Ward,2011,E05000823,Brooklands,East Asian Language (all other),2
Ward,2011,E05000823,Brooklands,Oceanic/Australian language (any),0
Ward,2011,E05000823,Brooklands,North/South American language (any),0
Ward,2011,E05000823,Brooklands,Caribbean Creole (English-based),0
Ward,2011,E05000823,Brooklands,Caribbean Creole (all other),0
Ward,2011,E05000823,Brooklands,Amharic,0
Ward,2011,E05000823,Brooklands,Tigrinya,0
Ward,2011,E05000823,Brooklands,Somali,0
Ward,2011,E05000823,Brooklands,Krio,0
Ward,2011,E05000823,Brooklands,Akan,0
Ward,2011,E05000823,Brooklands,Yoruba,0
Ward,2011,E05000823,Brooklands,Igbo,0
Ward,2011,E05000823,Brooklands,Swahili/Kiswahili,0
Ward,2011,E05000823,Brooklands,Luganda,0
Ward,2011,E05000823,Brooklands,Lingala,0
Ward,2011,E05000823,Brooklands,Shona,0
Ward,2011,E05000823,Brooklands,Afrikaans,6
Ward,2011,E05000823,Brooklands,Any other Nigerian language,1
Ward,2011,E05000823,Brooklands,West African language (all other),0
Ward,2011,E05000823,Brooklands,African language (all other),6
Ward,2011,E05000823,Brooklands,All other languages,1
Ward,2011,E05000823,Brooklands,British sign language,3
Ward,2011,E05000823,Brooklands,Sign Language (all other),0
Ward,2011,E05000823,Brooklands,Any Sign Communication System,0
Ward,2011,E05000824,Bucklow-St Martins,English (English or Welsh if in Wales),9568
Ward,2011,E05000824,Bucklow-St Martins,Welsh/Cymraeg (in England only),0
Ward,2011,E05000824,Bucklow-St Martins,Gaelic (Irish),0
Ward,2011,E05000824,Bucklow-St Martins,Gaelic (Scottish),0
Ward,2011,E05000824,Bucklow-St Martins,Manx Gaelic,0
Ward,2011,E05000824,Bucklow-St Martins,Gaelic (Not otherwise specified),0
Ward,2011,E05000824,Bucklow-St Martins,Cornish,0
Ward,2011,E05000824,Bucklow-St Martins,Scots,0
Ward,2011,E05000824,Bucklow-St Martins,Gypsy/Traveller languages,0
Ward,2011,E05000824,Bucklow-St Martins,French,16
Ward,2011,E05000824,Bucklow-St Martins,Portuguese,7
Ward,2011,E05000824,Bucklow-St Martins,Spanish,6
Ward,2011,E05000824,Bucklow-St Martins,Italian,4
Ward,2011,E05000824,Bucklow-St Martins,German,5
Ward,2011,E05000824,Bucklow-St Martins,Polish,75
Ward,2011,E05000824,Bucklow-St Martins,Slovak,0
Ward,2011,E05000824,Bucklow-St Martins,Czech,3
Ward,2011,E05000824,Bucklow-St Martins,Romanian,1
Ward,2011,E05000824,Bucklow-St Martins,Lithuanian,4
Ward,2011,E05000824,Bucklow-St Martins,Latvian,0
Ward,2011,E05000824,Bucklow-St Martins,Hungarian,5
Ward,2011,E05000824,Bucklow-St Martins,Bulgarian,1
Ward,2011,E05000824,Bucklow-St Martins,Greek,1
Ward,2011,E05000824,Bucklow-St Martins,Dutch,8
Ward,2011,E05000824,Bucklow-St Martins,Swedish,5
Ward,2011,E05000824,Bucklow-St Martins,Danish,0
Ward,2011,E05000824,Bucklow-St Martins,Finnish,1
Ward,2011,E05000824,Bucklow-St Martins,Estonian,0
